age,gender,signs_of_mental_illness,threat_level,flee,body_camera,african_american
35,1,1,0,0,0,TRUE
41,1,0,0,0,0,FALSE
59,1,0,1,0,0,FALSE
36,1,0,1,0,0,FALSE
32,1,0,0,1,0,FALSE
53,1,0,0,0,0,FALSE
26,1,0,1,1,0,FALSE
29,1,1,1,0,0,FALSE
27,1,0,0,0,0,FALSE
28,1,1,1,0,0,FALSE
52,1,1,1,0,0,FALSE
49,1,1,1,0,0,FALSE
24,1,0,1,1,0,FALSE
24,0,1,0,0,0,FALSE
20,1,1,1,0,0,FALSE
22,1,0,0,1,0,FALSE
49,0,0,1,0,0,FALSE
64,1,0,1,0,0,FALSE
47,1,0,0,0,0,FALSE
39,1,1,0,0,1,FALSE
18,1,0,1,0,0,TRUE
31,1,0,1,0,1,FALSE
16,1,0,1,1,0,TRUE
20,1,1,1,0,0,FALSE
36,1,0,1,0,0,FALSE
63,1,1,1,0,0,TRUE
34,1,0,1,0,0,FALSE
24,1,0,1,1,0,FALSE
21,1,0,1,0,0,FALSE
44,1,0,1,1,0,FALSE
60,1,1,1,0,0,FALSE
42,1,0,1,0,0,FALSE
37,1,1,0,0,0,FALSE
36,1,1,0,1,0,FALSE
21,1,0,1,1,0,TRUE
24,1,0,1,0,0,TRUE
29,1,1,1,1,0,TRUE
57,1,1,1,0,0,FALSE
38,1,0,1,0,0,FALSE
23,1,0,0,1,1,TRUE
27,1,0,1,1,0,TRUE
28,1,0,1,1,0,FALSE
63,1,1,0,0,0,FALSE
53,0,0,1,0,0,FALSE
35,1,1,0,0,0,FALSE
26,0,0,0,0,0,TRUE
42,1,0,1,1,0,FALSE
41,1,0,1,0,0,TRUE
56,1,1,1,0,0,FALSE
39,1,0,0,0,0,TRUE
23,1,0,1,1,0,FALSE
40,1,0,1,1,0,FALSE
29,1,0,1,0,0,TRUE
26,1,0,1,1,0,FALSE
54,1,0,1,0,0,
49,1,1,1,0,0,FALSE
36,1,0,1,0,0,FALSE
21,1,0,1,0,0,FALSE
27,0,0,0,1,0,TRUE
37,1,0,1,0,0,TRUE
36,1,0,1,0,0,FALSE
32,1,0,1,1,0,TRUE
44,1,0,0,0,0,TRUE
27,1,1,1,0,0,FALSE
63,1,1,1,0,0,FALSE
38,1,0,0,0,1,FALSE
17,1,0,1,1,0,TRUE
31,1,0,1,0,1,TRUE
34,1,1,1,1,0,FALSE
50,1,0,0,1,0,TRUE
51,1,1,0,0,0,FALSE
56,1,0,1,0,0,FALSE
23,1,1,1,0,0,FALSE
25,1,0,1,1,0,TRUE
31,1,0,1,1,0,FALSE
32,1,0,1,1,0,FALSE
60,1,0,1,1,0,FALSE
42,1,0,1,1,0,TRUE
39,1,0,1,1,0,FALSE
28,1,1,0,0,0,FALSE
22,1,0,1,0,0,FALSE
29,1,0,1,1,0,TRUE
31,1,1,1,0,0,FALSE
28,1,0,1,0,0,FALSE
54,1,0,1,0,0,
21,1,0,1,0,0,FALSE
38,1,0,1,1,0,FALSE
66,1,1,1,0,1,FALSE
36,1,0,1,1,1,TRUE
83,1,1,0,0,0,FALSE
32,1,1,1,1,0,FALSE
