age,gender,signs_of_mental_illness,threat_level,flee,body_camera,african_american
27,1,0,1,0,0,FALSE
26,1,0,0,1,0,TRUE
31,1,1,1,0,0,FALSE
22,1,0,0,1,0,TRUE
41,1,0,1,0,0,TRUE
41,1,0,0,1,0,TRUE
51,1,0,1,1,1,FALSE
72,1,1,1,0,0,FALSE
52,1,1,1,0,0,FALSE
47,1,0,0,0,0,FALSE
18,1,0,1,1,0,TRUE
29,1,0,1,0,0,FALSE
23,1,1,0,0,1,TRUE
43,1,1,1,0,0,FALSE
45,1,0,1,0,0,FALSE
40,1,1,1,0,0,FALSE
44,1,0,1,0,0,FALSE
25,1,0,0,0,0,FALSE
37,1,1,0,1,0,FALSE
59,1,1,0,0,0,FALSE
35,1,1,0,0,0,FALSE
35,1,0,1,0,0,TRUE
18,1,0,0,0,0,TRUE
51,1,0,0,0,0,FALSE
30,1,1,1,1,0,FALSE
31,1,0,1,1,0,TRUE
39,1,0,1,0,0,FALSE
26,1,1,1,0,0,FALSE
51,1,0,1,0,0,FALSE
19,1,0,0,0,0,FALSE
46,0,0,1,1,0,FALSE
49,1,0,1,0,0,FALSE
63,1,0,1,1,0,FALSE
20,1,0,1,1,1,TRUE
25,1,1,0,0,1,FALSE
24,1,1,1,1,0,TRUE
58,1,1,0,0,0,FALSE
29,1,0,1,0,0,FALSE
76,1,0,1,0,0,FALSE
45,1,0,1,0,0,FALSE
20,1,0,0,0,0,TRUE
58,1,0,1,0,0,FALSE
21,1,0,1,0,1,TRUE
27,1,1,1,0,0,FALSE
26,1,0,0,1,0,FALSE
33,1,1,1,0,0,FALSE
27,1,0,1,0,0,FALSE
25,0,0,1,0,0,TRUE
53,1,1,1,0,0,TRUE
53,1,1,1,0,0,FALSE
42,1,1,0,0,1,FALSE
22,1,0,0,0,0,FALSE
52,1,0,1,0,1,FALSE
36,1,1,1,0,1,FALSE
30,1,0,1,0,0,TRUE
34,1,0,1,0,0,FALSE
44,1,0,1,0,0,FALSE
53,1,0,1,0,0,FALSE
36,1,1,1,0,0,FALSE
29,1,0,1,0,1,TRUE
32,1,0,1,0,0,FALSE
46,1,1,1,0,0,FALSE
18,1,0,1,1,0,FALSE
72,1,1,0,0,0,
38,1,0,0,1,0,FALSE
21,1,0,1,1,0,TRUE
35,1,0,1,0,0,FALSE
58,1,1,1,0,0,FALSE
48,1,0,1,0,0,TRUE
31,1,0,1,1,0,TRUE
47,1,0,1,0,0,FALSE
34,1,0,0,1,0,TRUE
30,1,0,1,1,0,TRUE
28,1,1,0,0,0,FALSE
28,1,0,0,1,0,TRUE
40,1,1,0,0,0,FALSE
46,1,0,1,0,0,FALSE
37,1,1,1,1,0,FALSE
53,1,1,1,0,0,FALSE
41,1,1,1,0,0,FALSE
42,1,1,1,0,0,FALSE
45,1,0,1,1,0,TRUE
34,1,1,1,1,1,FALSE
18,1,1,1,0,0,FALSE
27,1,0,0,0,0,FALSE
54,1,0,1,0,0,FALSE
35,1,0,1,0,0,FALSE
17,1,0,1,0,0,FALSE
29,1,0,1,0,0,TRUE
38,1,0,1,0,0,TRUE
26,1,0,1,0,0,TRUE
52,1,0,0,0,0,FALSE
39,0,0,0,1,0,FALSE
22,1,1,0,0,0,FALSE
29,1,0,1,0,0,TRUE
43,1,0,1,0,0,FALSE
24,1,1,0,0,0,FALSE
32,1,0,1,0,0,TRUE
40,1,0,1,0,0,FALSE
47,1,0,1,0,0,FALSE
40,1,0,1,1,0,FALSE
25,1,1,1,0,0,TRUE
31,0,1,1,0,0,FALSE
36,1,1,1,0,0,TRUE
51,1,0,1,0,0,TRUE
24,1,0,1,0,0,FALSE
62,1,1,1,0,0,FALSE
39,1,0,1,0,0,FALSE
24,1,1,1,0,0,FALSE
57,1,1,1,0,0,FALSE
20,1,0,0,0,0,FALSE
33,1,1,0,0,0,FALSE
60,1,0,1,0,0,FALSE
32,1,0,1,0,0,TRUE
40,1,0,1,0,0,TRUE
18,1,0,1,0,0,FALSE
36,1,0,0,0,0,TRUE
35,1,0,1,0,0,FALSE
55,1,0,1,0,0,FALSE
19,1,0,1,1,0,FALSE
